======== App is starting ============================
==================================================
HS3003 App w/ State Machine Initialized (Python)
==================================================
[DATA] Temp: 30.69 °C | Hum: 56.54 %RH | State: NORMAL
[DATA] Temp: 30.69 °C | Hum: 56.52 %RH | State: NORMAL
[DATA] Temp: 30.71 °C | Hum: 56.50 %RH | State: NORMAL
[DATA] Temp: 30.71 °C | Hum: 56.50 %RH | State: NORMAL
[DATA] Temp: 30.71 °C | Hum: 56.58 %RH | State: NORMAL
[DATA] Temp: 30.73 °C | Hum: 56.63 %RH | State: NORMAL
[DATA] Temp: 30.76 °C | Hum: 55.92 %RH | State: NORMAL
[DATA] Temp: 30.78 °C | Hum: 56.03 %RH | State: NORMAL
[DATA] Temp: 30.79 °C | Hum: 56.03 %RH | State: NORMAL
[DATA] Temp: 30.87 °C | Hum: 55.67 %RH | State: NORMAL
[DATA] Temp: 31.10 °C | Hum: 54.82 %RH | State: NORMAL
[DATA] Temp: 32.02 °C | Hum: 54.72 %RH | State: NORMAL
[DATA] Temp: 33.12 °C | Hum: 52.35 %RH | State: NORMAL
[DATA] Temp: 34.11 °C | Hum: 50.40 %RH | State: NORMAL
[DATA] Temp: 35.19 °C | Hum: 48.30 %RH | State: ALERT (HIGH TEMP)
[DATA] Temp: 36.25 °C | Hum: 46.14 %RH | State: ALERT (HIGH TEMP)
[DATA] Temp: 37.30 °C | Hum: 43.97 %RH | State: ALERT (HIGH TEMP)
[DATA] Temp: 38.48 °C | Hum: 41.65 %RH | State: ALERT (HIGH TEMP)
[DATA] Temp: 39.81 °C | Hum: 39.44 %RH | State: ALERT (HIGH TEMP)
[DATA] Temp: 40.27 °C | Hum: 37.97 %RH | State: ALERT (HIGH TEMP)
[DATA] Temp: 40.41 °C | Hum: 37.92 %RH | State: ALERT (HIGH TEMP)
[DATA] Temp: 40.48 °C | Hum: 37.29 %RH | State: ALERT (HIGH TEMP)
[DATA] Temp: 40.23 °C | Hum: 37.16 %RH | State: ALERT (HIGH TEMP)
[DATA] Temp: 40.03 °C | Hum: 36.95 %RH | State: ALERT (HIGH TEMP)
[DATA] Temp: 39.62 °C | Hum: 37.05 %RH | State: ALERT (HIGH TEMP)
[DATA] Temp: 39.16 °C | Hum: 37.94 %RH | State: ALERT (HIGH TEMP)
