18:08:15.339 -> Temp: 33.97 °C | Hum: 43.51 %RH | Status: NORMAL
18:08:17.346 -> Temp: 34.12 °C | Hum: 43.63 %RH | Status: NORMAL
18:08:19.340 -> Temp: 34.24 °C | Hum: 43.71 %RH | Status: NORMAL
18:08:21.321 -> Temp: 34.35 °C | Hum: 43.58 %RH | Status: NORMAL
18:08:23.342 -> Temp: 34.43 °C | Hum: 43.23 %RH | Status: NORMAL
18:08:25.337 -> Temp: 34.51 °C | Hum: 42.97 %RH | Status: NORMAL
18:08:27.363 -> Temp: 34.59 °C | Hum: 42.53 %RH | Status: NORMAL
18:08:29.337 -> Temp: 34.65 °C | Hum: 42.23 %RH | Status: NORMAL
18:08:31.326 -> Temp: 34.70 °C | Hum: 42.10 %RH | Status: NORMAL
18:08:33.333 -> Temp: 34.75 °C | Hum: 42.29 %RH | Status: NORMAL
18:08:35.332 -> Temp: 34.80 °C | Hum: 42.58 %RH | Status: NORMAL
18:08:37.332 -> Temp: 34.84 °C | Hum: 42.56 %RH | Status: NORMAL
18:08:39.358 -> Temp: 34.89 °C | Hum: 42.23 %RH | Status: NORMAL
18:08:41.349 -> Temp: 34.92 °C | Hum: 41.65 %RH | Status: NORMAL
18:08:43.379 -> Temp: 34.96 °C | Hum: 41.41 %RH | Status: NORMAL
18:08:45.348 -> Temp: 35.00 °C | Hum: 41.26 %RH | Status: ALERT (HIGH TEMP)
18:08:47.378 -> Temp: 35.04 °C | Hum: 41.02 %RH | Status: ALERT (HIGH TEMP)
18:08:49.369 -> Temp: 35.05 °C | Hum: 40.88 %RH | Status: ALERT (HIGH TEMP)
18:08:51.345 -> Temp: 35.09 °C | Hum: 41.24 %RH | Status: ALERT (HIGH TEMP)
18:08:53.375 -> Temp: 34.81 °C | Hum: 41.41 %RH | Status: ALERT (HIGH TEMP)
18:08:55.366 -> Temp: 34.73 °C | Hum: 41.67 %RH | Status: ALERT (HIGH TEMP)
18:08:57.364 -> Temp: 34.65 °C | Hum: 42.02 %RH | Status: ALERT (HIGH TEMP)
18:08:59.376 -> Temp: 34.58 °C | Hum: 41.81 %RH | Status: ALERT (HIGH TEMP)
18:09:01.382 -> Temp: 34.51 °C | Hum: 41.90 %RH | Status: ALERT (HIGH TEMP)
18:09:03.361 -> Temp: 34.46 °C | Hum: 42.08 %RH | Status: NORMAL
18:09:05.392 -> Temp: 34.39 °C | Hum: 42.25 %RH | Status: NORMAL
18:09:07.392 -> Temp: 34.32 °C | Hum: 42.06 %RH | Status: NORMAL
18:09:09.375 -> Temp: 34.24 °C | Hum: 42.15 %RH | Status: NORMAL
